"","date","smlo_vwret","smme_vwret","smhi_vwret","bilo_vwret","bime_vwret","bihi_vwret","rf"
"134",20110429,0.0342,0.02,0.0127,0.0382,0.0231,0.0164,0
"135",20110531,-0.012,-0.0226,-0.0327,-0.0054,-0.0166,-0.026,0
"136",20110630,-0.0168,-0.0195,-0.019,-0.0148,-0.0194,-0.0174,0
"137",20110729,-0.043,-0.041,-0.0351,-0.008,-0.0294,-0.0387,0
"138",20110831,-0.0906,-0.0923,-0.0966,-0.0422,-0.0707,-0.0676,1e-04
"139",20110930,-0.1113,-0.114,-0.1112,-0.0642,-0.0765,-0.0842,0
"140",20111031,0.1554,0.1587,0.1298,0.1021,0.1248,0.1092,0
"141",20111130,-0.0143,-0.0037,-7e-04,-0.0015,0.009,-0.0184,0
"142",20111230,-0.0022,0.0073,0.0109,-0.0026,0.0208,0.0151,0
"143",20120131,0.0799,0.0699,0.0598,0.0606,0.0356,0.0374,0
"144",20120229,0.0357,0.0239,0.0286,0.0453,0.0389,0.0532,0
"145",20120330,0.0257,0.0287,0.0283,0.0397,0.0142,0.036,0
"146",20120430,-0.0127,-0.0208,-0.0097,-0.0057,-0.0067,-0.0122,0
"147",20120531,-0.066,-0.0647,-0.0579,-0.0588,-0.0616,-0.0646,1e-04
"148",20120629,0.0585,0.0426,0.0477,0.0301,0.0435,0.0506,0
"149",20120731,-0.0299,-0.0106,-0.0145,0.0128,0.0124,-0.0023,0
"150",20120831,0.0329,0.034,0.0351,0.027,0.0177,0.0358,1e-04
"151",20120928,0.0323,0.0361,0.0386,0.0172,0.0329,0.0424,1e-04
"152",20121031,-0.0381,-0.0129,-0.0044,-0.0287,-0.0151,0.0203,1e-04
"153",20121130,0.0074,0.0084,0.0107,0.0159,0,-0.0093,1e-04
"154",20121231,0.0255,0.0377,0.0422,-0.0015,0.0115,0.0467,1e-04
"155",20130131,0.0663,0.0608,0.0647,0.0465,0.0569,0.0742,0
"156",20130228,0.011,0.0058,0.0139,0.0117,0.016,0.0146,0
"157",20130328,0.0529,0.0424,0.0486,0.0371,0.0416,0.0402,0
"158",20130430,-0.0089,-0.0057,-0.0036,0.0181,0.0147,0.021,0
"159",20130531,0.0525,0.0536,0.047,0.0214,0.0197,0.0534,0
"160",20130628,0.0054,-0.0032,-0.0052,-0.0204,-8e-04,-0.0187,0
"161",20130731,0.0739,0.0704,0.0802,0.0554,0.0493,0.0638,0
"162",20130830,-0.0119,-0.0356,-0.0356,-0.0169,-0.0322,-0.0426,0
"163",20130930,0.0649,0.0667,0.0503,0.042,0.0295,0.0249,0
"164",20131031,0.0113,0.032,0.0389,0.0448,0.0415,0.0431,0
"165",20131129,0.0491,0.0457,0.0383,0.0324,0.0238,0.0366,0
"166",20131231,0.0172,0.0276,0.0195,0.0242,0.0341,0.019,0
"167",20140131,-0.0035,-0.0408,-0.0359,-0.0324,-0.0358,-0.0372,0
"168",20140228,0.0407,0.0513,0.0477,0.0502,0.0464,0.0336,0
"169",20140331,-0.0319,0.012,0.0108,-0.0096,0.0143,0.041,0
"170",20140430,-0.0631,-0.0309,-0.025,0.0023,0.0087,-0.0043,0
"171",20140530,-0.0059,0.011,-0.0022,0.0251,0.0203,0.0137,0
"172",20140630,0.0742,0.0462,0.0452,0.0178,0.0245,0.0337,0
"173",20140731,-0.0623,-0.06,-0.0569,-0.0166,-0.0125,-0.0218,0
